Customer ID,Name,Age,Gender,Email,Phone Number,Purchase History (count),Average Purchase Amount ($),Total Spend ($),Region,Preferred Payment Method,Transaction Time,Transaction Amount,Location Mismatch,Category,Sales_Month_1,Sales_Month_2,Sales_Month_3,Sales_Month_4,Sales_Month_5,Sales_Month_6,Subscription_Start_Date,Last_Login_Date,Complaints,Churn,Days_Since_Last_Login,Subscription_Tenure_Days,Cluster,PCA1,PCA2,Customer_Segment,Spend_per_day,Engagement_Score,Is_Inactive,Avg_Sales_6mo,Sales_Month_7,Predicted_Sales_Month_7,Fraud,Fraud_Probability,Fraud_Risk_Level,Customer_Segment,Churn_Probability,Risk_Level
708b2b39-ef6a-4be9-b9b7-9c7f62855e89,Daniel Leach,68,Non-Binary,elizabethstanley@example.org,+1-967-734-8928x179,1,54.97,18810,0,Credit Card,Normal Hours,Normal,Yes,Food,202,343,555,602,342,596,04-05-2022,14-04-2023,2,0,768,1113,0,1.7330909671438313,-2.14613415,0,16.885098743267505,18.32333333333333,1,440,486,499,0,0.28,Low,Budget/Occasional Buyers,0.22159107460238586,Low
eff50609-649e-4eb0-8a34-f8f8af2a8203,Elizabeth Houston,45,Female,steven28@example.org,+1-428-582-7032x70414,4,125.9,4757.49,2,PayPal,Normal Hours,Normal,No,Food,535,931,561,506,185,541,06-07-2022,11-09-2023,4,1,618,1050,1,-0.582118211,0.33967568,1,4.526631779257849,100.72,1,543.1666666666666,366,363,0,1,High,Premium Loyal Customers,0.5688998392568653,Medium
f0cd7d5c-823b-4bdd-beb4-3f84404a1afd,Joel Taylor,44,Female,elaineobrien@example.org,+1-319-909-6102x88043,37,244.46,785.15,3,Cash,Normal Hours,Normal,No,Furniture,960,604,826,673,895,663,22-11-2022,15-08-2023,2,0,645,911,0,3.2603907683095703,0.8195434445396234,0,0.8609100877192982,3015.0066666666667,1,770.1666666666666,701,629,0,0.27,Low,Budget/Occasional Buyers,0.45852233625001837,Medium
25c4e773-d6f2-4606-8204-a0d28a3d3865,Aaron Williams,68,Non-Binary,randerson@example.org,(810)980-6732x40926,36,346.08,15333.42,1,PayPal,Normal Hours,Normal,No,Health,370,230,351,827,677,367,09-04-2023,22-04-2023,1,0,760,773,0,5.55527314,-1.176597244,0,19.81062015503876,6229.44,1,470.3333333333333,591,584,0,0.17,Low,Budget/Occasional Buyers,0.063373016,Low
6c9792ee-89e1-4825-a73d-9c3772edc372,Whitney Moore DVM,46,Non-Binary,edward43@example.com,694.554.6490x24341,12,127.4,15579.71,0,Bank Transfer,"Odd Hours (e.g., 2 AM)",Normal,No,Apparel,206,584,801,904,781,609,15-12-2022,24-05-2024,1,0,362,888,0,3.212764780044603,-1.400631278,0,17.52498312710911,764.4000000000001,1,647.5,647,643,0,0.09,Low,Budget/Occasional Buyers,0.089431485,Low
0dbc0284-2586-433d-ba1f-0753f164baed,Patricia Baker,19,Non-Binary,douglas30@example.net,771.544.0817x69784,29,378.27,6524,0,Credit Card,"Odd Hours (e.g., 2 AM)",Normal,No,Electronics,171,918,395,198,656,906,22-10-2023,17-04-2024,2,0,399,577,0,4.204872762384428,0.016476546,0,11.28719723183391,3656.61,1,540.6666666666666,587,577,1,1,High,Budget/Occasional Buyers,0.18661817432346883,Low
d347ae92-5907-4923-9153-4ab135d67273,Belinda Lewis,36,Female,peggylopez@example.org,7544549780,8,285.08,16113.92,3,PayPal,"Odd Hours (e.g., 2 AM)",Unusually High,No,Health,800,746,824,783,673,485,07-02-2023,09-04-2023,1,0,773,834,0,2.9366959197755294,1.2764790277361264,0,19.29810778443114,1140.32,1,718.5,631,549,1,0.92,High,Budget/Occasional Buyers,0.020833333,Low
b5689c4a-ffe3-4a89-9ce1-a8bd5e113055,Eric Moore,77,Male,timothy70@example.net,552-235-1272x3823,23,411.25,10926.65,3,Cash,Normal Hours,Unusually High,No,Electronics,120,120,819,971,745,486,12-12-2022,02-06-2023,2,0,719,891,0,4.881146383772607,-0.708433051,0,12.249607623318385,3152.9166666666665,1,543.5,650,642,1,1,High,Budget/Occasional Buyers,0.093272515,Low
e4318381-ffda-4d5f-a38e-31aa86a13fd4,Courtney Guzman,77,Non-Binary,david91@example.org,507-389-1654x328,13,182.42,13081,1,Bank Transfer,Normal Hours,Unusually High,No,Furniture,714,940,848,825,895,212,26-05-2023,04-12-2023,1,0,534,726,0,3.139990806386468,-2.071716432,0,17.99312242090784,1185.73,1,739,495,503,1,1,High,Budget/Occasional Buyers,0.048478260869565214,Low
9fd9d14b-ddee-4d17-883f-00434fb4cb9f,David Allen,29,Female,chungbrooke@example.org,656.329.8777x484,49,358.45,9429.75,3,PayPal,Normal Hours,Normal,Yes,Furniture,221,266,437,646,127,712,27-05-2022,06-12-2024,2,0,166,1090,0,5.845745158850196,1.7838237707610725,0,8.643217231897342,5854.683333333333,0,401.5,479,445,1,1,High,Budget/Occasional Buyers,0.17094002159887023,Low
